urls,original_index,resolved_url,http_status,datetime_utc,fetch_error,path,mimetype,encoding,body_size
https://www.governo.it/it/articolo/commissione-europea-e-nuove-iniziative-incrementare-gli-investimenti-nella-difesa-la-nota,841,https://www.governo.it/it/articolo/commissione-europea-e-nuove-iniziative-incrementare-gli-investimenti-nella-difesa-la-nota,200,2025-11-01T18:19:42.704493,,01508ffc086a9e280626fc9627e190d8.html,text/html,utf-8,42399
https://www.governo.it/it/articolo/elezione-alla-presidenza-copa-di-giansanti-dichiarazione-del-presidente-meloni/26668,1666,https://www.governo.it/it/articolo/elezione-alla-presidenza-copa-di-giansanti-dichiarazione-del-presidente-meloni/26668,200,2025-11-01T18:19:44.304643,,55737cebc2cfb57f25a25e66e7cbe2e2.html,text/html,utf-8,42352
https://www.governo.it/it/articolo/musumeci-e-curcio-presentano-it-alert-il-sistema-di-allarme-pubblico-nazionale/22921,1347,https://www.governo.it/it/articolo/musumeci-e-curcio-presentano-it-alert-il-sistema-di-allarme-pubblico-nazionale/22921,200,2025-11-01T18:19:45.559284,,da0385feeb83e753f49957a738b06afa.html,text/html,utf-8,48998
https://www.governo.it/it/articolo/patto-la-terza-et-nota-del-presidente-meloni/22164,1765,https://www.governo.it/it/articolo/patto-la-terza-et-nota-del-presidente-meloni/22164,200,2025-11-01T18:19:47.126816,,6adbfe7f9ab4df1866401ae8aa50e55c.html,text/html,utf-8,41801
https://www.governo.it/it/articolo/colloquio-telefonico-meloni-erdo/25899,1685,https://www.governo.it/it/articolo/colloquio-telefonico-meloni-erdo/25899,200,2025-11-01T18:19:48.884987,,81c73ed238fac2e0fa63c98a45faf58e.html,text/html,utf-8,41018
https://www.governo.it/it/articolo/il-presidente-del-consiglio-giorgia-meloni-visita-linalpi-arena/27948,1235,https://www.governo.it/it/articolo/il-presidente-del-consiglio-giorgia-meloni-visita-linalpi-arena/27948,200,2025-11-01T18:19:50.505700,,447aaf3b3c899083a3822b776fba4b96.html,text/html,utf-8,41860
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-18/21628,1578,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-18/21628,200,2025-11-01T18:19:52.276987,,b46a070f6fbe413b9643cd30772ed6b3.html,text/html,utf-8,40279
https://www.governo.it/it/articolo/il-presidente-meloni-alla-videoconferenza-straordinaria-dei-membri-del-consiglio-europeo,1522,https://www.governo.it/it/articolo/il-presidente-meloni-alla-videoconferenza-straordinaria-dei-membri-del-consiglio-europeo,200,2025-11-01T18:19:53.891137,,2256c01c36179b913ca6deecca6a5229.html,text/html,utf-8,42595
https://www.governo.it/it/articolo/il-presidente-meloni-alla-camera-dei-deputati-il-question-time/24809,1303,https://www.governo.it/it/articolo/il-presidente-meloni-alla-camera-dei-deputati-il-question-time/24809,200,2025-11-01T18:19:55.494433,,c20dbe80f0df12d431749e041fb108d7.html,text/html,utf-8,41360
https://www.governo.it/it/articolo/venezuela-la-nota-di-palazzo-chigi/26454,1073,https://www.governo.it/it/articolo/venezuela-la-nota-di-palazzo-chigi/26454,200,2025-11-01T18:19:57.052292,,773084ec81640709c3ba5811d7c52c5b.html,text/html,utf-8,40956
https://www.governo.it/it/articolo/il-presidente-meloni-partecipa-al-festival-delleconomia/22710,1152,https://www.governo.it/it/articolo/il-presidente-meloni-partecipa-al-festival-delleconomia/22710,200,2025-11-01T18:19:58.620080,,afcede94e5abd3dea864944cd1102e03.html,text/html,utf-8,41787
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-54/23894,1324,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-54/23894,200,2025-11-01T18:20:00.244943,,b37c2b57322f8eead26968883884cb68.html,text/html,utf-8,39426
https://www.governo.it/it/articolo/comunicato-stampa-della-riunione-cipess-del-30-novembre-2023/24462,1512,https://www.governo.it/it/articolo/comunicato-stampa-della-riunione-cipess-del-30-novembre-2023/24462,200,2025-11-01T18:20:01.796642,,6a063be9d1270b2e8b68aaa77c0e855b.html,text/html,utf-8,48037
https://www.governo.it/it/articolo/nazione-e-patria-idee-ritrovate-il-videomessaggio-del-presidente-meloni/22732,1351,https://www.governo.it/it/articolo/nazione-e-patria-idee-ritrovate-il-videomessaggio-del-presidente-meloni/22732,200,2025-11-01T18:20:03.626923,,73d7668a6fa24316adcee504888d4871.html,text/html,utf-8,41847
