id,parent,depth,url,resolved_url,error,status,datetime_utc,mimetype,degree,body_size,encoding
r7M8YgCPTzaI,,0,https://www.fratelli-italia.it/category/notizie/page/1/,https://www.fratelli-italia.it/category/notizie/,,200,2025-11-03 15:54:57.842057,text/html,0,258026,utf-8
DGm1VYiXUCNz,,0,https://www.fratelli-italia.it/category/notizie/page/2/,https://www.fratelli-italia.it/category/notizie/page/2/,,200,2025-11-03 15:54:59.231163,text/html,0,261334,utf-8
7qpeKOD2m7PI,,0,https://www.fratelli-italia.it/category/notizie/page/3/,https://www.fratelli-italia.it/category/notizie/page/3/,,200,2025-11-03 15:55:00.709389,text/html,0,263766,utf-8
AVSklckihhvC,,0,https://www.fratelli-italia.it/category/notizie/page/4/,https://www.fratelli-italia.it/category/notizie/page/4/,,200,2025-11-03 15:55:02.970147,text/html,0,262926,utf-8
vtwMQSBrMFzh,,0,https://www.fratelli-italia.it/category/notizie/page/5/,https://www.fratelli-italia.it/category/notizie/page/5/,,200,2025-11-03 15:55:04.317631,text/html,0,261941,utf-8
AmT5pzVlOpk0,,0,https://www.fratelli-italia.it/category/notizie/page/6/,https://www.fratelli-italia.it/category/notizie/page/6/,,200,2025-11-03 15:55:05.696928,text/html,0,237081,utf-8
