job_id,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
r7M8YgCPTzaI,https://www.fratelli-italia.it/rai-storica-sentenza-consulta-mette-fine-a-monopolio-sindacale/,https://www.fratelli-italia.it/rai-storica-sentenza-consulta-mette-fine-a-monopolio-sindacale/,https://www.fratelli-italia.it/giustizia-approvata-riforma-storica-mantenuto-impegno-con-italiani/,https://www.fratelli-italia.it/giustizia-approvata-riforma-storica-mantenuto-impegno-con-italiani/,https://www.fratelli-italia.it/ddl-concorrenza-via-libera-in-senato-passo-avanti-verso-regolamentazione-mercati/,https://www.fratelli-italia.it/ddl-concorrenza-via-libera-in-senato-passo-avanti-verso-regolamentazione-mercati/,https://www.fratelli-italia.it/istat-dati-confermano-aumento-potere-dacquisto-sinistra-smentita/,https://www.fratelli-italia.it/istat-dati-confermano-aumento-potere-dacquisto-sinistra-smentita/,https://www.fratelli-italia.it/giustizia-con-riforma-ordinamento-forense-torna-centralita-avvocati/,https://www.fratelli-italia.it/giustizia-con-riforma-ordinamento-forense-torna-centralita-avvocati/,https://www.fratelli-italia.it/agricoltura-governo-rafforza-sicurezza-nel-settore/,https://www.fratelli-italia.it/agricoltura-governo-rafforza-sicurezza-nel-settore/,https://www.fratelli-italia.it/lintervento-del-senatore-roberto-menia-nellincontro-tra-la-commissione-esteri-e-difesa-e-il-cgie/,https://www.fratelli-italia.it/lintervento-del-senatore-roberto-menia-nellincontro-tra-la-commissione-esteri-e-difesa-e-il-cgie/,https://www.fratelli-italia.it/la_risposta_di_fidanza_e_menia_a_fedez/,https://www.fratelli-italia.it/la_risposta_di_fidanza_e_menia_a_fedez/,https://www.fratelli-italia.it/liberta-di-stampa-linterrogazione-di-roberto-menia-a-difesa-delle-linee-editoriali/,https://www.fratelli-italia.it/liberta-di-stampa-linterrogazione-di-roberto-menia-a-difesa-delle-linee-editoriali/,https://www.fratelli-italia.it/brogli-elettorali-allestero-un-ulteriore-esposto-su-quanto-accaduto-in-sudamerica-2/,https://www.fratelli-italia.it/brogli-elettorali-allestero-un-ulteriore-esposto-su-quanto-accaduto-in-sudamerica-2/,https://www.fratelli-italia.it/riacquisto-della-cittadinanza-emendamento-fdi-2/,https://www.fratelli-italia.it/riacquisto-della-cittadinanza-emendamento-fdi-2/,https://www.fratelli-italia.it/emirati-arabi-menia-fdi-riportiamo-a-casa-andrea-costantino-2/,https://www.fratelli-italia.it/emirati-arabi-menia-fdi-riportiamo-a-casa-andrea-costantino-2/,https://www.fratelli-italia.it/fratelli-ditalia-racconta-a-courmayeur-la-stagione-del-governo-meloni/,https://www.fratelli-italia.it/fratelli-ditalia-racconta-a-courmayeur-la-stagione-del-governo-meloni/,https://www.fratelli-italia.it/abruzzo-cipolletti-entra-in-fratelli-ditalia/,https://www.fratelli-italia.it/abruzzo-cipolletti-entra-in-fratelli-ditalia/,https://www.fratelli-italia.it/la-russa-fdi-vergognoso-sinistra-non-aderisce-a-mozione-condanna-scritte-garbatella/,https://www.fratelli-italia.it/la-russa-fdi-vergognoso-sinistra-non-aderisce-a-mozione-condanna-scritte-garbatella/,https://www.fratelli-italia.it/tor-sapienza-rampelli-spaccio-prostituzione-degrado-cosi-si-vive-in-periferia-le-vedette-avvisano-i-criminali-quando-arriva-la-polizia/,https://www.fratelli-italia.it/tor-sapienza-rampelli-spaccio-prostituzione-degrado-cosi-si-vive-in-periferia-le-vedette-avvisano-i-criminali-quando-arriva-la-polizia/,https://www.fratelli-italia.it/toscana-escalation-di-violenza-sugli-autisti-dei-bus/,https://www.fratelli-italia.it/toscana-escalation-di-violenza-sugli-autisti-dei-bus/,https://www.fratelli-italia.it/lazio-roma-viterbo-e-roma-lido-alla-regione-ma-il-servizio-non-migliora/,https://www.fratelli-italia.it/lazio-roma-viterbo-e-roma-lido-alla-regione-ma-il-servizio-non-migliora/
DGm1VYiXUCNz,https://www.fratelli-italia.it/scuola-riforma-esame-maturita-esalta-crescita-degli-studenti/,https://www.fratelli-italia.it/scuola-riforma-esame-maturita-esalta-crescita-degli-studenti/,https://www.fratelli-italia.it/immigrazione-inchiesta-su-click-day-da-ragione-a-meloni-smascherata-maxi-truffa/,https://www.fratelli-italia.it/immigrazione-inchiesta-su-click-day-da-ragione-a-meloni-smascherata-maxi-truffa/,https://www.fratelli-italia.it/lavoro-segnali-chiari-da-mondo-produttivo-italia-si-e-rimessa-in-moto/,https://www.fratelli-italia.it/lavoro-segnali-chiari-da-mondo-produttivo-italia-si-e-rimessa-in-moto/,https://www.fratelli-italia.it/sanita-da-governo-meloni-investimento-record-in-legge-di-bilancio/,https://www.fratelli-italia.it/sanita-da-governo-meloni-investimento-record-in-legge-di-bilancio/,https://www.fratelli-italia.it/spazio-italia-protagonista-in-costruzione-industria-europea/,https://www.fratelli-italia.it/spazio-italia-protagonista-in-costruzione-industria-europea/,https://www.fratelli-italia.it/imprese-con-ddl-pmi-governo-meloni-da-slancio-a-tessuto-produttivo/,https://www.fratelli-italia.it/imprese-con-ddl-pmi-governo-meloni-da-slancio-a-tessuto-produttivo/,https://www.fratelli-italia.it/emirati-arabi-menia-fdi-riportiamo-a-casa-andrea-costantino/,https://www.fratelli-italia.it/emirati-arabi-menia-fdi-riportiamo-a-casa-andrea-costantino/,https://www.fratelli-italia.it/menia-voto-elettronico-per-gli-italiani-allestero/,https://www.fratelli-italia.it/menia-voto-elettronico-per-gli-italiani-allestero/,https://www.fratelli-italia.it/menia-voto-elettronico-per-gli-italiani-allestero-2/,https://www.fratelli-italia.it/menia-voto-elettronico-per-gli-italiani-allestero-2/,https://www.fratelli-italia.it/dopo-la-vittoria-elettorale-torna-a-riunirsi-il-dipartimento-italiani-nel-mondo-di-fratelli-ditalia/,https://www.fratelli-italia.it/dopo-la-vittoria-elettorale-torna-a-riunirsi-il-dipartimento-italiani-nel-mondo-di-fratelli-ditalia/,https://www.fratelli-italia.it/dopo-la-vittoria-elettorale-torna-a-riunirsi-il-dipartimento-italiani-nel-mondo-di-fratelli-ditalia-2/,https://www.fratelli-italia.it/dopo-la-vittoria-elettorale-torna-a-riunirsi-il-dipartimento-italiani-nel-mondo-di-fratelli-ditalia-2/,https://www.fratelli-italia.it/roberto-menia-a-gente-ditalia-modificare-il-voto-estero-e-unurgenza/,https://www.fratelli-italia.it/roberto-menia-a-gente-ditalia-modificare-il-voto-estero-e-unurgenza/,https://www.fratelli-italia.it/toscana-passa-la-proposta-fdi-due-milioni-in-piu-a-sociale-e-cultura/,https://www.fratelli-italia.it/toscana-passa-la-proposta-fdi-due-milioni-in-piu-a-sociale-e-cultura/,https://www.fratelli-italia.it/lazio-campo-largo-naufragato-zingaretti-si-dimetta/,https://www.fratelli-italia.it/lazio-campo-largo-naufragato-zingaretti-si-dimetta/,https://www.fratelli-italia.it/toscana-rigassificatore-piombino-regione-e-governo-sordi-ad-una-comunita/,https://www.fratelli-italia.it/toscana-rigassificatore-piombino-regione-e-governo-sordi-ad-una-comunita/,https://www.fratelli-italia.it/toscana-grembiuli-gialli-a-scuola-bambini-usati-per-battaglia-gender/,https://www.fratelli-italia.it/toscana-grembiuli-gialli-a-scuola-bambini-usati-per-battaglia-gender/,https://www.fratelli-italia.it/covid-ghera-file-per-il-tampone-regione-individui-altri-spazi-dedicati/,https://www.fratelli-italia.it/covid-ghera-file-per-il-tampone-regione-individui-altri-spazi-dedicati/,https://www.fratelli-italia.it/dichiarazione-presidente-marsilio-su-revoca-concessione-strada-dei-parchi/,https://www.fratelli-italia.it/dichiarazione-presidente-marsilio-su-revoca-concessione-strada-dei-parchi/
7qpeKOD2m7PI,https://www.fratelli-italia.it/governo-meloni-tre-anni-di-risultati-e-traguardi-per-litalia/,https://www.fratelli-italia.it/governo-meloni-tre-anni-di-risultati-e-traguardi-per-litalia/,https://www.fratelli-italia.it/roma-capitale-riforma-e-segnale-di-responsabilita-e-visione/,https://www.fratelli-italia.it/roma-capitale-riforma-e-segnale-di-responsabilita-e-visione/,https://www.fratelli-italia.it/covid-commissario-arcuri-rifiuto-mascherine-a-prezzi-inferiori/,https://www.fratelli-italia.it/covid-commissario-arcuri-rifiuto-mascherine-a-prezzi-inferiori/,https://www.fratelli-italia.it/auto-in-ue-su-blocco-diesel-e-benzina-prevale-linea-governo-meloni/,https://www.fratelli-italia.it/auto-in-ue-su-blocco-diesel-e-benzina-prevale-linea-governo-meloni/,https://www.fratelli-italia.it/governo-terzo-piu-longevo-stabilita-e-visione-per-litalia/,https://www.fratelli-italia.it/governo-terzo-piu-longevo-stabilita-e-visione-per-litalia/,https://www.fratelli-italia.it/governo-dichiarazioni-schlein-gravissime-screditano-italia-allestero/,https://www.fratelli-italia.it/governo-dichiarazioni-schlein-gravissime-screditano-italia-allestero/,https://www.fratelli-italia.it/roberto-menia-a-gente-ditalia-modificare-il-voto-estero-e-unurgenza-2/,https://www.fratelli-italia.it/roberto-menia-a-gente-ditalia-modificare-il-voto-estero-e-unurgenza-2/,https://www.fratelli-italia.it/menia-boccia-di-maio-sul-voto-allestero-segnali-preoccupanti-dallaudizione-del-ministro/,https://www.fratelli-italia.it/menia-boccia-di-maio-sul-voto-allestero-segnali-preoccupanti-dallaudizione-del-ministro/,https://www.fratelli-italia.it/menia-boccia-di-maio-sul-voto-allestero-segnali-preoccupanti-dallaudizione-del-ministro-2/,https://www.fratelli-italia.it/menia-boccia-di-maio-sul-voto-allestero-segnali-preoccupanti-dallaudizione-del-ministro-2/,https://www.fratelli-italia.it/thailandia-gli-over-60-italiani-inseriti-nella-lista-dei-prossimi-vaccinati-grazie-allimpegno-di-fratelli-ditalia/,https://www.fratelli-italia.it/thailandia-gli-over-60-italiani-inseriti-nella-lista-dei-prossimi-vaccinati-grazie-allimpegno-di-fratelli-ditalia/,https://www.fratelli-italia.it/thailandia-gli-over-60-italiani-inseriti-nella-lista-dei-prossimi-vaccinati-grazie-allimpegno-di-fratelli-ditalia-2/,https://www.fratelli-italia.it/thailandia-gli-over-60-italiani-inseriti-nella-lista-dei-prossimi-vaccinati-grazie-allimpegno-di-fratelli-ditalia-2/,https://www.fratelli-italia.it/italiani-allestero-fdi-presenta-ddl-per-voto-elettronico/,https://www.fratelli-italia.it/italiani-allestero-fdi-presenta-ddl-per-voto-elettronico/,https://www.fratelli-italia.it/friuli-venezia-giulia-bonus-psicologico-la-battaglia-di-fdi-diventa-realta/,https://www.fratelli-italia.it/friuli-venezia-giulia-bonus-psicologico-la-battaglia-di-fdi-diventa-realta/,https://www.fratelli-italia.it/toscana-mimmo-lucano-al-meeting-antirazzista-regione-ritiri-patrocinio/,https://www.fratelli-italia.it/toscana-mimmo-lucano-al-meeting-antirazzista-regione-ritiri-patrocinio/,https://www.fratelli-italia.it/toscana-nominato-a-pistoia-lassessore-piu-giovane-della-regione-e-di-fratelli-ditalia/,https://www.fratelli-italia.it/toscana-nominato-a-pistoia-lassessore-piu-giovane-della-regione-e-di-fratelli-ditalia/,https://www.fratelli-italia.it/lazio-viterbo-troncarelli-si-dimetta-sua-sconfitta-e-anche-della-giunta-zingaretti/,https://www.fratelli-italia.it/lazio-viterbo-troncarelli-si-dimetta-sua-sconfitta-e-anche-della-giunta-zingaretti/,https://www.fratelli-italia.it/liguria-la-sinistra-dice-no-alla-condanna-per-i-paesi-con-reato-di-omosessualita/,https://www.fratelli-italia.it/liguria-la-sinistra-dice-no-alla-condanna-per-i-paesi-con-reato-di-omosessualita/,https://www.fratelli-italia.it/toscana-dopo-pistoia-al-centrodestra-anche-lucca-la-regione-e-sempre-meno-rossa/,https://www.fratelli-italia.it/toscana-dopo-pistoia-al-centrodestra-anche-lucca-la-regione-e-sempre-meno-rossa/
AVSklckihhvC,https://www.fratelli-italia.it/finanza-promozione-italia-in-serie-a-e-successo-del-governo/,https://www.fratelli-italia.it/finanza-promozione-italia-in-serie-a-e-successo-del-governo/,https://www.fratelli-italia.it/ranucci-solidarieta-a-giornalista-per-grave-atto-intimidatorio-liberta-dinformazione-e-sacra/,https://www.fratelli-italia.it/ranucci-solidarieta-a-giornalista-per-grave-atto-intimidatorio-liberta-dinformazione-e-sacra/,https://www.fratelli-italia.it/manovra-investimento-record-su-famiglie-e-natalita/,https://www.fratelli-italia.it/manovra-investimento-record-su-famiglie-e-natalita/,https://www.fratelli-italia.it/governo-da-landini-insulto-sessista-a-meloni-inaccettabile/,https://www.fratelli-italia.it/governo-da-landini-insulto-sessista-a-meloni-inaccettabile/,https://www.fratelli-italia.it/agricoltura-bene-anticipo-fondi-pac-governo-alleato-dei-lavoratori/,https://www.fratelli-italia.it/agricoltura-bene-anticipo-fondi-pac-governo-alleato-dei-lavoratori/,https://www.fratelli-italia.it/maturita-riforma-esalta-il-valore-del-merito/,https://www.fratelli-italia.it/maturita-riforma-esalta-il-valore-del-merito/,https://www.fratelli-italia.it/italiani-allestero-fdi-presenta-ddl-per-voto-elettronico-2/,https://www.fratelli-italia.it/italiani-allestero-fdi-presenta-ddl-per-voto-elettronico-2/,https://www.fratelli-italia.it/vaccini-per-gli-italiani-in-thailandia-del-mastro-fdi-interroga-di-maio/,https://www.fratelli-italia.it/vaccini-per-gli-italiani-in-thailandia-del-mastro-fdi-interroga-di-maio/,https://www.fratelli-italia.it/vaccini-per-gli-italiani-in-thailandia-del-mastro-fdi-interroga-di-maio-2/,https://www.fratelli-italia.it/vaccini-per-gli-italiani-in-thailandia-del-mastro-fdi-interroga-di-maio-2/,https://www.fratelli-italia.it/gli-italiani-allestero-chiamati-al-voto-per-il-rinnovo-dei-comites-fazzolari-governo-pretende-il-cognome-del-coniuge-per-far-votare-donne-2/,https://www.fratelli-italia.it/gli-italiani-allestero-chiamati-al-voto-per-il-rinnovo-dei-comites-fazzolari-governo-pretende-il-cognome-del-coniuge-per-far-votare-donne-2/,https://www.fratelli-italia.it/gli-italiani-allestero-chiamati-al-voto-per-il-rinnovo-dei-comites-fazzolari-governo-pretende-il-cognome-del-coniuge-per-far-votare-donne/,https://www.fratelli-italia.it/gli-italiani-allestero-chiamati-al-voto-per-il-rinnovo-dei-comites-fazzolari-governo-pretende-il-cognome-del-coniuge-per-far-votare-donne/,https://www.fratelli-italia.it/italiani-allestero-fdi-si-conclude-italiaoltreconfine-pronti-a-fare-battaglia-in-parlamento-per-nostri-connazionali-2/,https://www.fratelli-italia.it/italiani-allestero-fdi-si-conclude-italiaoltreconfine-pronti-a-fare-battaglia-in-parlamento-per-nostri-connazionali-2/,https://www.fratelli-italia.it/liguria-genova-per-fdi-importanti-deleghe-nella-giunta-bucci/,https://www.fratelli-italia.it/liguria-genova-per-fdi-importanti-deleghe-nella-giunta-bucci/,https://www.fratelli-italia.it/toscana-ballottaggi-sindaco-pistoia-tomasi-a-sostegno-del-centrodestra-a-lucca/,https://www.fratelli-italia.it/toscana-ballottaggi-sindaco-pistoia-tomasi-a-sostegno-del-centrodestra-a-lucca/,https://www.fratelli-italia.it/abruzzo-elezioni-comunali-si-afferma-fdi-con-la-sua-classe-dirigente/,https://www.fratelli-italia.it/abruzzo-elezioni-comunali-si-afferma-fdi-con-la-sua-classe-dirigente/,https://www.fratelli-italia.it/sicilia-bucalo-ministro-giovannini-si-interessi-ai-trasporti-per-lisola/,https://www.fratelli-italia.it/sicilia-bucalo-ministro-giovannini-si-interessi-ai-trasporti-per-lisola/,https://www.fratelli-italia.it/peste-suina-deidda-decisione-deludente-in-sardegna-fiscali-mentre-in-europa-dilaga-altra-variante/,https://www.fratelli-italia.it/peste-suina-deidda-decisione-deludente-in-sardegna-fiscali-mentre-in-europa-dilaga-altra-variante/,https://www.fratelli-italia.it/invasione-cavallette-sardegna-deidda-massimo-sostegno-alle-comunita-colpite-fdi-elabora-richieste-ben-precise-allattenzione-del-governo/,https://www.fratelli-italia.it/invasione-cavallette-sardegna-deidda-massimo-sostegno-alle-comunita-colpite-fdi-elabora-richieste-ben-precise-allattenzione-del-governo/
vtwMQSBrMFzh,https://www.fratelli-italia.it/bilancio-governo-approva-documento-programmatico-intervento-serio-e-responsabile/,https://www.fratelli-italia.it/bilancio-governo-approva-documento-programmatico-intervento-serio-e-responsabile/,https://www.fratelli-italia.it/agricoltura-no-a-taglio-risorse-pac-mozione-fdi-per-difendere-settore/,https://www.fratelli-italia.it/agricoltura-no-a-taglio-risorse-pac-mozione-fdi-per-difendere-settore/,https://www.fratelli-italia.it/verona-cordoglio-per-scomparsa-dei-tre-carabinieri/,https://www.fratelli-italia.it/verona-cordoglio-per-scomparsa-dei-tre-carabinieri/,https://www.fratelli-italia.it/medio-oriente-gioia-per-liberazione-ostaggi-italia-in-prima-fila-per-la-pace/,https://www.fratelli-italia.it/medio-oriente-gioia-per-liberazione-ostaggi-italia-in-prima-fila-per-la-pace/,https://www.fratelli-italia.it/nobel-premio-a-machado-riconosce-lotta-per-liberta-in-venezuela/,https://www.fratelli-italia.it/nobel-premio-a-machado-riconosce-lotta-per-liberta-in-venezuela/,https://www.fratelli-italia.it/gaza-accordo-su-piano-di-pace-notizia-straordinaria-ora-porre-fine-al-conflitto/,https://www.fratelli-italia.it/gaza-accordo-su-piano-di-pace-notizia-straordinaria-ora-porre-fine-al-conflitto/,https://www.fratelli-italia.it/italiani-allestero-fdi-si-conclude-italiaoltreconfine-pronti-a-fare-battaglia-in-parlamento-per-nostri-connazionali/,https://www.fratelli-italia.it/italiani-allestero-fdi-si-conclude-italiaoltreconfine-pronti-a-fare-battaglia-in-parlamento-per-nostri-connazionali/,https://www.fratelli-italia.it/italiaoltreconfini-promozione-e-tutela-di-una-identita/,https://www.fratelli-italia.it/italiaoltreconfini-promozione-e-tutela-di-una-identita/,https://www.fratelli-italia.it/italiaoltreconfini-promozione-e-tutela-di-una-identita-2/,https://www.fratelli-italia.it/italiaoltreconfini-promozione-e-tutela-di-una-identita-2/,https://www.fratelli-italia.it/tridico-pensa-agli-immigrati-e-il-governo-dimentica-italiani-allestero-2/,https://www.fratelli-italia.it/tridico-pensa-agli-immigrati-e-il-governo-dimentica-italiani-allestero-2/,https://www.fratelli-italia.it/tridico-pensa-agli-immigrati-e-il-governo-dimentica-italiani-allestero/,https://www.fratelli-italia.it/tridico-pensa-agli-immigrati-e-il-governo-dimentica-italiani-allestero/,https://www.fratelli-italia.it/fazzolari-il-governo-ha-impedito-un-piano-vaccinale-per-italiani-allestero-2/,https://www.fratelli-italia.it/fazzolari-il-governo-ha-impedito-un-piano-vaccinale-per-italiani-allestero-2/,https://www.fratelli-italia.it/abruzzo-il-governo-dimentica-il-porto-di-vasto/,https://www.fratelli-italia.it/abruzzo-il-governo-dimentica-il-porto-di-vasto/,https://www.fratelli-italia.it/toscana-a-lucca-ballottaggio-aperto-fratelli-ditalia-primo-partito-centrodestra/,https://www.fratelli-italia.it/toscana-a-lucca-ballottaggio-aperto-fratelli-ditalia-primo-partito-centrodestra/,https://www.fratelli-italia.it/san-benedetto-del-tronto-nuova-sede-di-rappresentanza-agenzia-delle-dogane-il-progetto-prosegue/,https://www.fratelli-italia.it/san-benedetto-del-tronto-nuova-sede-di-rappresentanza-agenzia-delle-dogane-il-progetto-prosegue/,https://www.fratelli-italia.it/veneto-tutela-animali-una-legge-per-adeguare-le-pensioni/,https://www.fratelli-italia.it/veneto-tutela-animali-una-legge-per-adeguare-le-pensioni/,https://www.fratelli-italia.it/provincia-di-roma-silvestroni-ci-lascia-fabio-pacchiarotti-amico-e-militante-vero/,https://www.fratelli-italia.it/provincia-di-roma-silvestroni-ci-lascia-fabio-pacchiarotti-amico-e-militante-vero/,https://www.fratelli-italia.it/trentino-alto-adige-laustria-respinge-immigrati-verso-litalia-situazione-fuori-controllo/,https://www.fratelli-italia.it/trentino-alto-adige-laustria-respinge-immigrati-verso-litalia-situazione-fuori-controllo/
